;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
966;pin_5712;101119;226.5;221.5;1.165.457.965;-838.749.926;-48.440.003;10.045.966;Non Bawang Putih
967;pin_7603;101119;129.5;46.5;1.165.367.016;-8.372.247.846;-14.634.606;-79.205.546;Non Bawang Putih
968;pin_6638;101119;64.5;66.5;1.165.309.706;-8.374.191.367;-6.023.747;-11.248.507;Non Bawang Putih
971;pin_8145;101119;117.5;33.5;1.165.355.995;-8.371.127.464;-15.148.108;-11.686.341;Non Bawang Putih
972;pin_4596;101119;1.771.860.343;3.294.447.734;1.165.409.089;-8.370.921.003;-13.170.105;-7.686.076;Non Bawang Putih
974;pin_6901;101119;129.5;167.5;1.165.370.219;-8.382.970.193;-5.514.177;11.239.854;Non Bawang Putih
980;pin_6424;101119;143.5;3.5;1.165.378.337;-8.368.400.555;-48.873.057;12.327.836;Non Bawang Putih
982;pin_5396;101119;281.5;16.5;1.165.501.471;-8.369.188.891;-10.990.217;-5.173.001;Non Bawang Putih
985;pin_7043;101119;141.5;173.5;1.165.381.056;-8.383.470.222;-10.640.117;-0.75278425;Non Bawang Putih
989;pin_7396;101119;57.5;178.5;1.165.306.441;-8.384.134.845;-7.336.299;-31.096.334;Non Bawang Putih
990;pin_7403;101119;63.5;178.5;116.531.178;-8.384.119.024;-7.763.646;-27.763.753;Non Bawang Putih
991;pin_7345;101119;55.5;176.5;1.165.304.608;-8.383.962.885;-7.959.895;-2.955.558;Non Bawang Putih
992;pin_5007;101119;1.931.860.254;5.194.447.602;1.165.423.829;-8.372.562.483;-13.501.107;-8.659.627;Non Bawang Putih
993;pin_5242;101119;1.771.860.345;3.994.447.727;1.165.409.275;-8.371.541.295;-12.829.874;-8.720.888;Non Bawang Putih
994;pin_7449;101119;59.5;180.5;1.165.308.274;-8.384.306.804;-6.746.631;-27.303.047;Non Bawang Putih
997;pin_7595;101119;122.5;46.5;1.165.360.788;-8.372.266.286;-152.606.535;-10.013.761;Non Bawang Putih
998;pin_6420;101119;139.5;3.5;1.165.374.777;-8.368.411.089;-9.934.092;-0.6365403;Non Bawang Putih
999;pin_4700;101119;1.761.860.352;4.194.447.732;1.165.408.438;-8.371.721.157;-14.576.509;-8.689.272;Non Bawang Putih
1001;pin_6108;101119;225.5;166.5;1.165.455.617;-8.382.628.263;-11.232.789;-57.328.386;Non Bawang Putih
1002;pin_4673;101119;1.791.860.325;1.494.447.738;1.165.410.393;-8.369.320.697;-15.081.281;-10.143.179;Non Bawang Putih
1003;pin_8055;101119;99.5;80.5;1.165.341.221;-837.533.979;-13.293.704;-8.170.487;Non Bawang Putih
1004;pin_4664;101119;1.711.860.372;1.494.447.794;1.165.403.274;-8.369.341.772;-13.587.579;-8.982.288;Non Bawang Putih
1006;pin_6425;101119;127.5;34.5;1.165.364.919;-837.118.974;-16.021.389;-10.446.173;Non Bawang Putih
1008;pin_7491;101119;115.5;44.5;1.165.354.506;-8.372.107.496;-17.163.721;-11.130.755;Non Bawang Putih
1012;pin_4547;101119;1.811.860.319;3.094.447.708;1.165.412.596;-8.370.733.237;-14.464.339;-9.796.216;Non Bawang Putih
1016;pin_4558;101119;1.911.860.259;3.094.447.638;1.165.421.494;-8.370.706.887;-1.294.857;-83.363.495;Non Bawang Putih
1017;pin_6823;101119;42.5;233.5;116.529.455;-8.389.048.316;-8.287.609;2.328.904;Non Bawang Putih
1020;pin_6839;101119;56.5;233.5;1.165.307.008;-8.389.011.382;-9.312.067;0.30988953;Non Bawang Putih
1021;pin_5204;101119;1.891.860.274;4.094.447.642;1.165.419.979;-8.371.598.285;-1.447.477;-8.235.126;Non Bawang Putih
1022;pin_7611;101119;112.5;47.5;1.165.351.916;-8.372.381.243;-17.075.792;-77.114.315;Non Bawang Putih
1027;pin_7887;101119;83.5;68.5;1.165.326.666;-8.374.318.555;-1.551.958;-9.751.775;Non Bawang Putih
1028;pin_5906;101119;222.5;187.5;1.165.453.504;-8.384.497.028;-11.818.386;-45.718.193;Non Bawang Putih
1032;pin_8147;101119;106.5;83.5;1.165.347.529;-8.375.587.192;-15.622.643;-8.710.732;Non Bawang Putih
1035;pin_7510;101119;71.5;182.5;1.165.319.005;-8.384.452.393;-79.961.925;-29.599.328;Non Bawang Putih
1036;pin_7829;101119;106.5;65.5;1.165.347.053;-837.399.212;-13.223.656;-7.984.585;Non Bawang Putih
1038;pin_4257;101119;1.811.860.315;2.094.447.718;1.165.412.331;-8.369.847.106;-16.466.541;-9.530.647;Non Bawang Putih
1039;pin_5531;101119;201.5;227.5;1.165.435.878;-8.388.096.958;-51.224.785;-0.103866704;Non Bawang Putih
1040;pin_7067;101119;146.5;174.5;1.165.385.532;-8.383.545.644;-10.337.278;-0.3893123;Non Bawang Putih
1041;pin_7813;101119;91.5;65.5;1.165.333.706;-8.374.031.635;-15.154.597;-10.111.516;Non Bawang Putih
1043;pin_5188;101119;2.041.860.188;4.894.447.528;1.165.433.537;-8.372.267.652;-13.758.673;-7.092.278;Non Bawang Putih
1044;pin_7716;101119;131.5;50.5;1.165.368.902;-8.372.597.035;-14.272.623;-5.892.324;Non Bawang Putih
1045;pin_6285;101119;174.5;184.5;1.165.410.713;-8.384.357.894;-13.463.005;-8.686.576;Non Bawang Putih
1047;pin_5433;101119;273.5;38.5;1.165.494.936;-8.371.159.412;-12.849.663;-52.137.175;Non Bawang Putih
1048;pin_8113;101119;100.5;82.5;1.165.342.164;-8.375.514.386;-13.942.683;-902.994;Non Bawang Putih
1049;pin_7344;101119;160.5;183.5;1.165.398.228;-8.384.306.227;-9.213.667;-0.9203781;Non Bawang Putih
1050;pin_6274;101119;165.5;183.5;1.165.402.678;-8.384.293.032;-1.181.796;-3.584.575;Non Bawang Putih
1051;pin_7152;101119;132.5;178.5;116.537.318;-8.383.937.036;-8.167.906;0.19267994;Non Bawang Putih
1056;pin_6129;101119;229.5;168.5;1.165.459.229;-8.382.794.927;-12.971.531;-33.187.044;Non Bawang Putih
1058;pin_5125;101119;1.951.860.244;5.594.447.584;1.165.425.715;-8.372.911.662;-14.260.168;-87.691.145;Non Bawang Putih
1060;pin_5160;101119;1.771.860.351;5.694.447.709;1.165.409.724;-8.373.047.719;-12.873.026;-9.331.357;Non Bawang Putih
1062;pin_7178;101119;135.5;179.5;1.165.375.876;-8.384.017.736;-37.631.366;0.77554435;Non Bawang Putih
1063;pin_6154;101119;230.5;170.5;1.165.460.172;-838.296.951;-11.636.876;-284.919;Non Bawang Putih
1065;pin_4816;101119;1.761.860.353;4.594.447.728;1.165.408.544;-837.207.561;-16.072.454;-8.605.364;Non Bawang Putih
1067;pin_4538;101119;174.186.036;3.094.447.757;1.165.406.367;-8.370.751.681;-14.798.602;-10.322.852;Non Bawang Putih
1070;pin_4883;101119;18.518.603;4.794.447.663;1.165.416.605;-8.372.229.117;-16.955.765;-804.756;Non Bawang Putih
1071;pin_7650;101119;121.5;48.5;1.165.359.951;-837.244.615;-14.894.426;-8.053.912;Non Bawang Putih
1074;pin_6512;101119;76.5;49.5;1.165.319.935;-837.265.329;-61.441.984;15.225.898;Non Bawang Putih
1075;pin_8197;101119;105.5;99.5;1.165.347.063;-8.377.007.669;-1.502.423;-9.279.009;Non Bawang Putih
1077;pin_8284;101119;109.5;102.5;1.165.350.702;-8.377.262.972;-12.524.113;-8.783.311;Non Bawang Putih
1078;pin_8032;101119;103.5;79.5;1.165.344.754;-8.375.240.636;-12.880.548;-76.003.294;Non Bawang Putih
1079;pin_5274;101119;184.5;0.5;1.165.414.739;-8.368.026.729;-15.321.676;-11.078.757;Non Bawang Putih
1080;pin_6786;101119;38.5;232.5;1.165.290.964;-8.388.970.251;-8.478.419;193.337;Non Bawang Putih
1087;pin_5018;101119;2.031.860.195;5.294.447.531;1.165.432.754;-8.372.624.737;-12.961.213;-55.266.757;Non Bawang Putih
1088;pin_5553;101119;215.5;223.5;116.544.823;-8.387.705.536;-862.508;-0.39949307;Non Bawang Putih
1089;pin_7262;101119;143.5;181.5;1.165.383.048;-8.384.173.857;-13.440.274;-31.723.547;Non Bawang Putih
1092;pin_4321;101119;1.661.860.401;1.294.447.831;1.165.398.772;-8.369.177.716;-16.294.933;-10.207.637;Non Bawang Putih
1099;pin_4301;101119;1.861.860.286;2.294.447.681;1.165.416.833;-8.370.011.159;-17.064.983;-10.509.704;Non Bawang Putih
1100;pin_8223;101119;124.5;33.5;1.165.362.223;-8.371.109.027;-149.359.865;-10.090.341;Non Bawang Putih
1103;pin_7572;101119;126.5;45.5;116.536.432;-8.372.167.135;-16.135.746;-9.136.875;Non Bawang Putih
1104;pin_4286;101119;1.811.860.316;2.194.447.717;1.165.412.358;-836.993.572;-16.573.748;-8.484.845;Non Bawang Putih
1105;pin_6159;101119;225.5;170.5;1.165.455.723;-8.382.982.709;-11.641.024;-12.875.262;Non Bawang Putih
1108;pin_7301;101119;135.5;30.5;1.165.371.932;-837.081.421;-1.764.699;-10.227.722;Non Bawang Putih
1110;pin_6572;101119;58.5;65.5;1.165.304.341;-8.374.118.553;-6.288.181;12.363.361;Non Bawang Putih
1112;pin_6715;101119;34.5;230.5;1.165.287.351;-8.388.803.568;-8.005.278;14.399.259;Non Bawang Putih
1113;pin_6667;101119;45.5;228.5;1.165.297.087;-8.388.597.319;-7.463.361;-0.994973;Non Bawang Putih
1114;pin_6454;101119;133.5;5.5;1.165.369.491;-8.368.604.117;-69.793.997;0.20354703;Non Bawang Putih
1120;pin_6403;101119;141.5;2.5;116.537.653;-8.368.317.208;-35.910.769;29.924.989;Non Bawang Putih
1123;pin_4581;101119;1.881.860.277;3.194.447.658;1.165.418.851;-8.370.803.405;-16.276.215;-8.792.707;Non Bawang Putih
1125;pin_6434;101119;134.5;4.5;1.165.370.355;-836.851.287;-9.300.617;0.037939496;Non Bawang Putih
1128;pin_6304;101119;124.5;106.5;1.165.364.155;-8.377.577.895;-16.800.589;-96.032.715;Non Bawang Putih
1132;pin_4430;101119;1.891.860.269;2.594.447.657;1.165.419.582;-8.370.269.093;-14.205.879;-10.080.639;Non Bawang Putih
1136;pin_5316;101119;224.5;3.5;116.545.041;-8.368.187.183;-10.397.743;-4.469.515;Non Bawang Putih
1137;pin_4820;101119;1.801.860.329;45.944.477;1.165.412.103;-8.372.065.068;-15.573.774;-804.238;Non Bawang Putih
1138;pin_7461;101119;70.5;180.5;1.165.318.062;-8.384.277.798;-7.912.032;-29.265.022;Non Bawang Putih
1140;pin_6521;101119;76.5;50.5;1.165.319.961;-8.372.741.906;-37.107.382;39.270.039;Non Bawang Putih
1141;pin_6452;101119;131.5;5.5;1.165.367.712;-8.368.609.384;-6.555.435;19.241.389;Non Bawang Putih
1143;pin_7799;101119;104.5;64.5;1.165.345.247;-8.373.908.773;-14.608.756;-8.408.134;Non Bawang Putih
1148;pin_5974;101119;229.5;172.5;1.165.459.335;-8.383.149.373;-11.391.968;-31.731.837;Non Bawang Putih
1152;pin_6706;101119;53.5;229.5;1.165.304.232;-8.388.664.831;-68.334.017;-10.064.565;Non Bawang Putih
1153;pin_6887;101119;137.5;166.5;1.165.377.312;-8.382.860.475;-8.947.762;-32.917.442;Non Bawang Putih
1155;pin_7803;101119;82.5;65.5;1.165.325.697;-8.374.055.342;-14.809.652;-9.554.978;Non Bawang Putih
1157;pin_7848;101119;98.5;66.5;1.165.339.961;-837.410.181;-13.510.559;-8.355.555;Non Bawang Putih
1158;pin_5787;101119;220.5;229.5;1.165.452.838;-8.388.224.001;-8.341.462;-150.214;Non Bawang Putih
1160;pin_5218;101119;2.011.860.203;3.994.447.559;116.543.063;-8.371.478.047;-14.928.521;-6.603.984;Non Bawang Putih
1162;pin_5493;101119;216.5;228.5;1.165.449.252;-8.388.145.954;-6.524.781;18.824.971;Non Bawang Putih
1163;pin_8332;101119;102.5;104.5;1.165.344.526;-8.377.458.651;-14.458.031;-9.247.523;Non Bawang Putih
1164;pin_7385;101119;69.5;177.5;1.165.317.093;-8.384.014.587;-7.144.044;-0.726292;Non Bawang Putih
1165;pin_5651;101119;208.5;211.5;1.165.441.683;-8.386.660.678;-14.842.008;-5.169.415;Non Bawang Putih
1166;pin_7546;101119;138.5;30.5;1.165.374.602;-8.370.806.308;-1.655.727;-10.428.059;Non Bawang Putih
1169;pin_7600;101119;127.5;46.5;1.165.365.237;-8.372.253.115;-15.187.349;-8.247.352;Non Bawang Putih
1170;pin_6224;101119;212.5;241.5;1.165.446.038;-8.389.308.474;-11.840.413;-44.770.775;Non Bawang Putih
1171;pin_7926;101119;93.5;69.5;1.165.335.591;-8.374.380.828;-14.979.523;-9.071.742;Non Bawang Putih
1172;pin_5225;101119;1.941.860.244;3.994.447.608;1.165.424.401;-8.371.496.495;-13.966.944;-69.246.016;Non Bawang Putih
1173;pin_8040;101119;110.5;79.5;1.165.350.983;-8.375.222.192;-14.819.012;-10.924.409;Non Bawang Putih
1174;pin_4271;101119;1.681.860.392;2.094.447.809;1.165.400.764;-8.369.881.355;-1.488.854;-10.369.232;Non Bawang Putih
1178;pin_5802;101119;221.5;225.5;1.165.453.622;-8.387.866.913;-739.212;0.82805026;Non Bawang Putih
1179;pin_7057;101119;134.5;36.5;1.165.371.201;-837.134.853;-16.512.016;-91.718.025;Non Bawang Putih
1180;pin_4693;101119;185.186.029;1.594.447.695;1.165.415.758;-8.369.393.503;-13.206.261;-10.334.823;Non Bawang Putih
1183;pin_5136;101119;2.011.860.209;5.694.447.541;116.543.108;-8.372.984.459;-14.210.815;-9.827.536;Non Bawang Putih
1184;pin_4448;101119;1.821.860.311;2.694.447.705;116.541.338;-837.037.615;-14.499.721;-58.068.566;Non Bawang Putih
1185;pin_8275;101119;101.5;102.5;1.165.343.583;-8.377.284.056;-15.355.234;-9.008.141;Non Bawang Putih
1188;pin_5946;101119;216.5;190.5;1.165.448.244;-8.384.778.704;-9.218.319;0.5805312;Non Bawang Putih
1189;pin_6811;101119;31.5;233.5;1.165.284.761;-8.389.077.333;-9.156.608;-0.9121196;Non Bawang Putih
1191;pin_6637;101119;71.5;65.5;1.165.315.909;-8.374.084.315;-74.815.397;13.566.829;Non Bawang Putih
1194;pin_4944;101119;1.881.860.283;4.994.447.639;1.165.419.327;-8.372.398.436;-15.249.919;-70.359.297;Non Bawang Putih
1198;pin_8019;101119;116.5;78.5;1.165.356.295;-8.375.117.767;-1.768.731;-12.353.114;Non Bawang Putih
1199;pin_7542;101119;124.5;44.5;1.165.362.514;-8.372.083.789;-16.384.802;-9.320.851;Non Bawang Putih
1201;pin_7780;101119;86.5;64.5;116.532.923;-837.395.619;-1.293.149;-10.663.121;Non Bawang Putih
1202;pin_8038;101119;108.5;79.5;1.165.349.203;-8.375.227.462;-14.738.652;-7.031.016;Non Bawang Putih
1204;pin_7052;101119;132.5;174.5;1.165.373.074;-8.383.582.579;-10.795.456;-13.634.025;Non Bawang Putih
1207;pin_4929;101119;1.761.860.354;4.894.447.725;1.165.408.623;-8.372.341.449;-14.786.127;-5.176.526;Non Bawang Putih
1208;pin_6421;101119;140.5;3.5;1.165.375.667;-8.368.408.455;-45.316.305;25.130.663;Non Bawang Putih
1209;pin_8395;101119;109.5;106.5;1.165.350.807;-8.377.617.432;-14.679.241;-10.541.129;Non Bawang Putih
1210;pin_6557;101119;76.5;54.5;1.165.320.067;-837.309.637;-53.296.003;35.013.998;Non Bawang Putih
1211;pin_5026;101119;1.951.860.243;5.294.447.587;1.165.425.635;-8.372.645.824;-14.843.919;-9.511.892;Non Bawang Putih
1212;pin_5293;101119;202.5;1.5;1.165.430.782;-8.368.067.924;-12.974.233;-4.726.668;Non Bawang Putih
1213;pin_7509;101119;70.5;182.5;1.165.318.115;-838.445.503;-77.813.196;-30.648.787;Non Bawang Putih
1214;pin_8024;101119;120.5;78.5;1.165.359.855;-8.375.107.227;-16.160.227;-11.563.628;Non Bawang Putih
1216;pin_4284;101119;1.791.860.327;2.194.447.731;1.165.410.578;-8.369.940.989;-16.695.158;-10.378.108;Non Bawang Putih
1219;pin_7135;101119;141.5;36.5;116.537.743;-837.133.009;-14.252.289;-73.374.324;Non Bawang Putih
1220;pin_5722;101119;230.5;224.5;1.165.461.604;-838.775.453;-52.310.195;2.191.222;Non Bawang Putih
1221;pin_6594;101119;73.5;60.5;1.165.317.556;-8.373.635.967;-61.439.924;0.028495293;Non Bawang Putih
1222;pin_6117;101119;233.5;167.5;1.165.462.762;-8.382.695.757;-79.696.517;-42.292.595;Non Bawang Putih
1224;pin_4986;101119;1.771.860.349;5.094.447.715;1.165.409.566;-837.251.604;-14.657.965;-4.776.837;Non Bawang Putih
1228;pin_8252;101119;105.5;101.5;1.165.347.116;-8.377.184.899;-15.075.159;-79.199.915;Non Bawang Putih
1231;pin_5820;101119;208.5;197.5;1.165.441.311;-8.385.420.109;-13.979.054;-30.014.725;Non Bawang Putih
1232;pin_5476;101119;221.5;230.5;1.165.453.754;-8.388.309.971;-8.419.427;-0.36429745;Non Bawang Putih
1233;pin_7286;101119;140.5;182.5;1.165.380.405;-8.384.270.386;-9.562.607;-35.995.278;Non Bawang Putih
1234;pin_6339;101119;120.5;124.5;1.165.361.072;-8.379.183.502;-1.480.989;-8.906.624;Non Bawang Putih
1236;pin_5036;101119;1.851.860.302;5.294.447.657;1.165.416.737;-8.372.672.182;-15.669.878;-8.687.328;Non Bawang Putih
1239;pin_8297;101119;121.5;102.5;116.536.138;-8.377.231.344;-14.937.553;-8.552.115;Non Bawang Putih
1240;pin_5932;101119;219.5;189.5;1.165.450.887;-8.384.682.172;-75.664.015;-30.086.756;Non Bawang Putih
1244;pin_7189;101119;145.5;179.5;1.165.384.775;-8.383.991.352;-13.230.379;-0.45096073;Non Bawang Putih
1245;pin_5194;101119;2.041.860.187;4.494.447.532;1.165.433.432;-8.371.913.202;-15.547.572;-9.174.789;Non Bawang Putih
1246;pin_7618;101119;118.5;47.5;1.165.357.255;-8.372.365.438;-1.617.976;-9.945.417;Non Bawang Putih
1247;pin_4469;101119;1.801.860.323;2.794.447.718;1.165.411.627;-8.370.470.033;-14.404.435;-10.168.165;Non Bawang Putih
1250;pin_6845;101119;32.5;234.5;1.165.285.677;-8.389.163.312;-8.521.999;0.40113223;Non Bawang Putih
1251;pin_7438;101119;71.5;179.5;1.165.318.926;-8.384.186.545;-7.817.833;-22.803.752;Non Bawang Putih
1252;pin_8114;101119;101.5;82.5;1.165.343.054;-8.375.511.751;-1.600.655;-9.019.061;Non Bawang Putih
1253;pin_5368;101119;280.5;11.5;1.165.500.449;-8.368.748.476;-11.511.154;-35.687.945;Non Bawang Putih
1258;pin_6932;101119;136.5;168.5;1.165.376.475;-8.383.040.342;-8.556.689;0.15231511;Non Bawang Putih
1259;pin_5533;101119;203.5;227.5;1.165.437.658;-8.388.091.676;-23.394.244;25.002.367;Non Bawang Putih
1260;pin_4563;101119;1.721.860.372;319.444.777;1.165.404.614;-8.370.845.564;-15.552.299;-10.159.816;Non Bawang Putih
1261;pin_4540;101119;1.761.860.348;3.094.447.743;1.165.408.147;-8.370.746.412;-14.010.565;-9.809.961;Non Bawang Putih
1262;pin_4817;101119;1.771.860.347;4.594.447.721;1.165.409.433;-8.372.072.974;-16.129.486;-8.721.326;Non Bawang Putih
1265;pin_4640;101119;1.921.860.254;3.394.447.628;1.165.422.463;-837.097.009;-12.279.042;-9.360.486;Non Bawang Putih
1266;pin_5153;101119;1.841.860.309;569.444.766;1.165.415.953;-8.373.029.269;-13.922.726;-7.671.013;Non Bawang Putih
1267;pin_6197;101119;221.5;165.5;1.165.452.031;-8.382.550.209;-10.348.835;-32.912.068;Non Bawang Putih
1272;pin_8048;101119;117.5;79.5;1.165.357.212;-8.375.203.747;-15.734.717;-12.636.767;Non Bawang Putih
1273;pin_8274;101119;100.5;102.5;1.165.342.693;-8.377.286.692;-14.474.411;-79.506.717;Non Bawang Putih
1274;pin_6166;101119;218.5;170.5;1.165.449.494;-8.383.001.187;-12.778.041;-4.925.872;Non Bawang Putih
1278;pin_8356;101119;136.5;33.5;1.165.372.901;-8.371.077.419;-16.039.062;-9.896.209;Non Bawang Putih
1280;pin_8023;101119;131.5;32.5;1.165.368.426;-8.371.001.975;-13.947.753;-9.655.982;Non Bawang Putih
1281;pin_8271;101119;122.5;101.5;1.165.362.243;-8.377.140.093;-15.087.397;-9.324.872;Non Bawang Putih
1283;pin_5992;101119;226.5;173.5;1.165.456.692;-8.383.245.904;-10.859.996;-2.912.857;Non Bawang Putih
1284;pin_8368;101119;109.5;105.5;1.165.350.781;-8.377.528.817;-14.346.423;-10.220.931;Non Bawang Putih
1285;pin_7892;101119;87.5;68.5;1.165.330.226;-8.374.308.018;-15.603.235;-10.994.578;Non Bawang Putih
1286;pin_6088;101119;231.5;165.5;1.165.460.929;-8.382.523.813;-8.626.851;-17.257.042;Non Bawang Putih
1288;pin_8050;101119;119.5;79.5;1.165.358.991;-8.375.198.476;-15.891.251;-11.445.622;Non Bawang Putih
1289;pin_4675;101119;1.811.860.313;1.494.447.724;1.165.412.172;-8.369.315.428;-13.631.665;-77.680.035;Non Bawang Putih
1291;pin_6693;101119;41.5;229.5;1.165.293.554;-8.388.696.487;-8.864.298;-0.9007877;Non Bawang Putih
1292;pin_6947;101119;128.5;169.5;1.165.369.382;-8.383.150.059;-10.268.384;-39.445.393;Non Bawang Putih
1295;pin_7319;101119;144.5;183.5;1.165.383.991;-8.384.348.446;-12.388.904;16.195.724;Non Bawang Putih
1297;pin_8313;101119;109.5;103.5;1.165.350.728;-8.377.351.587;-13.583.523;-10.260.648;Non Bawang Putih
1298;pin_7743;101119;131.5;51.5;1.165.368.928;-837.268.565;-15.299.565;-58.393.154;Non Bawang Putih
1299;pin_5625;101119;212.5;215.5;1.165.445.348;-8.387.004.563;-13.138.449;-28.746.212;Non Bawang Putih
1305;pin_7032;101119;131.5;173.5;1.165.372.158;-8.383.496.603;-12.023.592;-13.316.647;Non Bawang Putih
1307;pin_6573;101119;59.5;65.5;1.165.305.231;-8.374.115.919;-55.459.766;15.628.581;Non Bawang Putih
1308;pin_8256;101119;127.5;33.5;1.165.364.893;-8.371.101.125;-15.874.802;-10.974.002;Non Bawang Putih
1310;pin_4750;101119;1.811.860.323;4.294.447.696;1.165.412.913;-8.371.796.594;-16.034.239;-9.089.456;Non Bawang Putih
1314;pin_4624;101119;1.771.860.343;3.394.447.733;1.165.409.116;-8.371.009.616;-13.363.077;-77.335.176;Non Bawang Putih
1315;pin_6293;101119;167.5;181.5;1.165.404.404;-8.384.110.528;-11.426.689;-10.683.165;Non Bawang Putih
1316;pin_5604;101119;217.5;219.5;1.165.449.903;-8.387.345.807;-8.811.415;-2.729.942;Non Bawang Putih
1318;pin_4295;101119;1.891.860.268;2.194.447.661;1.165.419.476;-8.369.914.641;-16.263.191;-93.389.015;Non Bawang Putih
1322;pin_5322;101119;224.5;5.5;1.165.450.463;-8.368.364.407;-9.895.823;-39.638.085;Non Bawang Putih
1323;pin_6214;101119;230.5;171.5;1.165.460.198;-8.383.058.122;-11.212.222;-22.871.242;Non Bawang Putih
1324;pin_6092;101119;235.5;165.5;1.165.464.488;-8.382.513.254;-11.805.565;0.46574062;Non Bawang Putih
1325;pin_5552;101119;214.5;223.5;116.544.734;-8.387.708.177;-9.433.491;-0.26140988;Non Bawang Putih
1326;pin_5038;101119;1.831.860.314;5.294.447.671;1.165.414.957;-8.372.677.453;-13.610.243;-8.798.068;Non Bawang Putih
1329;pin_8277;101119;103.5;102.5;1.165.345.363;-8.377.278.785;-152.057.495;-9.144.116;Non Bawang Putih
1330;pin_4276;101119;1.721.860.369;219.444.778;1.165.404.349;-8.369.959.431;-15.509.199;-8.419.442;Non Bawang Putih
1331;pin_5729;101119;223.5;224.5;1.165.455.375;-8.387.773.019;-6.573.698;-0.40146253;Non Bawang Putih
1332;pin_5259;101119;169.5;0.5;1.165.401.392;-8.368.066.239;-14.873.686;-74.834.046;Non Bawang Putih
1333;pin_7870;101119;92.5;67.5;1.165.334.648;-8.374.206.232;-15.344.659;-9.848.341;Non Bawang Putih
1334;pin_7974;101119;100.5;77.5;1.165.342.032;-837.507.131;-17.546.236;-8.322.593;Non Bawang Putih
1340;pin_4984;101119;1.791.860.337;5.094.447.701;1.165.411.345;-8.372.510.769;-15.162.786;-636.162;Non Bawang Putih
1341;pin_4781;101119;1.991.860.216;4.394.447.568;1.165.428.956;-8.371.837.768;-14.149.172;-8.570.386;Non Bawang Putih
1342;pin_6766;101119;50.5;231.5;1.165.301.616;-8.388.849.978;-10.069.367;13.111.973;Non Bawang Putih
1346;pin_6837;101119;54.5;233.5;1.165.305.228;-8.389.016.659;-9.026.256;0.63446844;Non Bawang Putih
1347;pin_4956;101119;2.001.860.212;4.994.447.555;1.165.430.005;-8.372.366.808;-16.009.274;-874.078;Non Bawang Putih
1355;pin_8181;101119;112.5;84.5;1.165.352.895;-8.375.659.997;-15.462.169;-8.836.954;Non Bawang Putih
1356;pin_6751;101119;36.5;231.5;1.165.289.157;-838.888.691;-8.344.375;16.914.141;Non Bawang Putih
1358;pin_7386;101119;70.5;177.5;1.165.317.983;-838.401.195;-65.945.597;-0.40411523;Non Bawang Putih
1360;pin_4985;101119;1.781.860.343;5.094.447.708;1.165.410.456;-8.372.513.405;-14.612.672;-4.857.594;Non Bawang Putih
1361;pin_7746;101119;131.5;31.5;1.165.368.399;-837.091.336;-14.852.391;-10.359.096;Non Bawang Putih
1362;pin_5296;101119;203.5;2.5;1.165.431.698;-8.368.153.902;-1.329.622;-43.625.255;Non Bawang Putih
1364;pin_7943;101119;84.5;70.5;1.165.327.609;-8.374.493.152;-15.478.308;-6.960.287;Non Bawang Putih
1368;pin_5376;101119;282.5;13.5;1.165.502.282;-8.368.920.424;-1.065.251;-36.515.253;Non Bawang Putih
1370;pin_6725;101119;43.5;230.5;116.529.536;-8.388.779.828;-8.734.577;-0.5361512;Non Bawang Putih
1373;pin_4609;101119;1.891.860.272;329.444.765;1.165.419.767;-8.370.889.383;-14.363.726;-76.769.133;Non Bawang Putih
1374;pin_6511;101119;75.5;49.5;1.165.319.045;-8.372.655.923;-6.040.031;18.377.914;Non Bawang Putih
1375;pin_7777;101119;84.5;64.5;116.532.745;-8.373.961.458;-13.923.406;-10.961.823;Non Bawang Putih
1376;pin_7857;101119;141.5;31.5;1.165.377.297;-837.088.702;-18.599.411;-107.087;Non Bawang Putih
1377;pin_7504;101119;65.5;182.5;1.165.313.666;-8.384.468.215;-67.693.963;-28.354.137;Non Bawang Putih
1378;pin_7095;101119;143.5;175.5;1.165.382.889;-8.383.642.173;-11.100.337;0.91332436;Non Bawang Putih
1379;pin_5145;101119;1.921.860.262;5.694.447.604;1.165.423.072;-8.373.008.183;-14.416.349;-77.782.245;Non Bawang Putih
1380;pin_4867;101119;180.186.033;4.694.447.699;1.165.412.129;-8.372.153.681;-15.016.943;-7.533.492;Non Bawang Putih
1381;pin_7992;101119;116.5;77.5;1.165.356.269;-8.375.029.152;-17.469.267;-12.484.647;Non Bawang Putih
1382;pin_7150;101119;130.5;178.5;1.165.371.401;-8.383.942.312;-10.749.818;-15.326.098;Non Bawang Putih
1383;pin_6642;101119;68.5;66.5;1.165.313.266;-8.374.180.832;-4.333.759;42.214.465;Non Bawang Putih
1386;pin_5179;101119;2.051.860.184;5.294.447.517;1.165.434.533;-8.372.619.465;-14.126.236;-7.641.228;Non Bawang Putih
1387;pin_7278;101119;158.5;181.5;1.165.396.396;-8.384.134.277;-79.074.974;36.440.861;Non Bawang Putih
1388;pin_7190;101119;134.5;30.5;1.165.371.042;-8.370.816.844;-17.239.695;-10.523.783;Non Bawang Putih
1389;pin_6964;101119;144.5;169.5;116.538.362;-8.383.107.851;-10.778.837;-33.165.686;Non Bawang Putih
