,VH,VV,VV-VH,VV/VH,(VV+VH)/2,Class
0,-15.328173,-10.290688,5.037485,0.6713577671650757,-12.8094305,Bawang Putih
1,-15.173157000000002,-7.9246793,7.248477700000001,0.5222828248597177,-11.54891815,Non Bawang Putih
2,-16.002329,-9.07425,6.928079,0.5670580826078504,-12.5382895,Non Bawang Putih
3,-13.04202,-8.113653,4.9283670000000015,0.6221162826003946,-10.5778365,Bawang Putih
4,-16.602642000000003,-8.377229,8.225413000000003,0.5045720434133314,-12.489935500000001,Bawang Putih
5,-13.718354,-4.511617,9.206737,0.3288745136624992,-9.1149855,Non Bawang Putih
6,-13.210020000000002,-6.923265,6.286755000000002,0.5240919393006217,-10.0666425,Bawang Putih
7,-15.482289000000002,-9.094109,6.388180000000002,0.5873878856027037,-12.288199,Non Bawang Putih
8,-11.456853,-8.323949,3.132904,0.7265475955744566,-9.890401,Bawang Putih
9,-10.987159,-0.36310938,10.624049620000001,0.03304852328067701,-5.67513419,Non Bawang Putih
10,-15.689248,-8.76205,6.927197999999999,0.5584748230125498,-12.225649,Bawang Putih
11,-13.865376,-3.8878102,9.977565799999999,0.2803970263770705,-8.8765931,Non Bawang Putih
12,-12.864847,-8.346461999999999,4.518385,0.6487805101762967,-10.6056545,Bawang Putih
13,-11.41125,-3.7938113,7.617438700000001,0.33246237704020154,-7.60253065,Non Bawang Putih
14,-13.395454,-9.3039665,4.091487500000001,0.6945614907863518,-11.349710250000001,Bawang Putih
15,-14.993087,-8.552539999999999,6.4405470000000005,0.5704322265321344,-11.772813499999998,Non Bawang Putih
16,-16.016413,-10.58512,5.431293,0.6608920486753183,-13.3007665,Non Bawang Putih
17,-13.34088,-6.2695823,7.071297700000001,0.4699526792835255,-9.805231150000001,Bawang Putih
18,-17.177828,-10.258886,6.918942000000001,0.5972167144763587,-13.718357000000001,Bawang Putih
19,-11.708911,-7.827089999999999,3.8818210000000013,0.6684729263037356,-9.7680005,Bawang Putih
20,-16.065132000000002,-6.22735,9.837782,0.38763142437920833,-11.146241000000002,Non Bawang Putih
21,-14.186001,-6.587615,7.598385999999999,0.46437435046000636,-10.386808,Bawang Putih
22,-7.6700506,-0.79235494,6.87769566,0.1033050472965589,-4.2312027699999994,Non Bawang Putih
23,-16.46789,-9.1280775,7.339812500000001,0.5542955108395793,-12.79798375,Bawang Putih
24,-12.139949,-7.914252,4.225696999999999,0.6519180599523112,-10.0271005,Bawang Putih
25,-14.895309,-9.185419,5.70989,0.6166652199024538,-12.040364,Bawang Putih
26,-4.2524424000000005,2.8953123,7.1477547,-0.6808586754755337,-0.6785650500000002,Non Bawang Putih
27,-18.056128,-10.431051,7.625077000000001,0.5777014318906024,-14.2435895,Non Bawang Putih
28,-13.672177,-6.3265862,7.345590799999999,0.4627343692229848,-9.9993816,Non Bawang Putih
29,-15.857178,-9.977491,5.879686999999999,0.6292097496792936,-12.917334499999999,Non Bawang Putih
30,-14.74506,-6.6836615,8.0613985,0.4532814040770265,-10.71436075,Non Bawang Putih
31,-14.849559,-8.462750999999999,6.386808,0.5698991464999061,-11.656154999999998,Non Bawang Putih
32,-5.1051626,0.4115608,5.5167234,-0.08061658995934821,-2.3468009,Non Bawang Putih
33,-15.373974,-9.176711,6.197263000000001,0.5968990841275,-12.2753425,Bawang Putih
34,-10.799204,-10.375923,0.42328099999999935,0.960804425955839,-10.5875635,Bawang Putih
35,-14.527823,-9.188336,5.339487,0.6324647540102877,-11.858079499999999,Bawang Putih
36,-15.603855,-9.927284,5.676570999999999,0.6362071424016694,-12.7655695,Non Bawang Putih
37,-14.807301999999998,-8.669339,6.137962999999997,0.585477286814303,-11.7383205,Bawang Putih
38,-6.837269999999998,0.02088472,6.858154719999998,-0.0030545407743148953,-3.4081926399999993,Non Bawang Putih
39,-9.009381,-0.5818002,8.4275808,0.06457715574466215,-4.7955906,Non Bawang Putih
40,-15.5834675,-10.933663,4.6498045,0.7016193924747492,-13.25856525,Non Bawang Putih
41,-8.436828,-1.7845868000000005,6.6522412,0.21152343036980253,-5.110707400000001,Non Bawang Putih
42,-12.054276,-6.385301,5.668975,0.5297125269074642,-9.2197885,Bawang Putih
43,-14.367072,-8.218892,6.14818,0.5720645097344818,-11.292982,Bawang Putih
44,-16.63231,-8.066852,8.565458,0.4850109215136082,-12.349581,Non Bawang Putih
45,-9.267723,-0.18924762,9.07847538,0.02042007729406673,-4.72848531,Non Bawang Putih
46,-15.129362,-9.199086,5.930276000000001,0.6080286795966676,-12.164224,Non Bawang Putih
47,-11.334153,-6.959991499999999,4.374161500000001,0.6140724851693813,-9.14707225,Bawang Putih
48,-14.5898485,-9.103253,5.4865955,0.6239443130612357,-11.84655075,Bawang Putih
49,-14.723197,-9.567682,5.155515000000001,0.6498372602091786,-12.1454395,Bawang Putih
50,-12.56531,-0.5085628,12.0567472,0.04047355775543938,-6.5369364,Non Bawang Putih
51,-14.847711,-7.4614410000000015,7.386269999999999,0.5025314002946314,-11.154576,Bawang Putih
52,-12.492473,-6.022964,6.469509,0.48212743785798057,-9.2577185,Bawang Putih
53,-14.003714000000002,-6.844384,7.159330000000002,0.4887549117327017,-10.424049,Bawang Putih
54,-14.9053955,-7.869602,7.035793499999999,0.5279700226672953,-11.387498749999999,Bawang Putih
55,-15.907271,-8.707324,7.199947,0.5473801257299257,-12.3072975,Bawang Putih
56,-10.64957,-7.718294599999999,2.9312754000000014,0.724751759930213,-9.1839323,Bawang Putih
57,-14.278789000000002,-8.900778,5.378011000000001,0.623356644600603,-11.589783500000001,Non Bawang Putih
