,VH,VV,Class
126,-14.657483,-6.9372444,Bawang Putih
127,-13.419089000000001,-7.7664504,Bawang Putih
128,-12.56749,-6.3858595000000005,Non Bawang Putih
129,-14.236773000000001,-7.3786592,Bawang Putih
130,-12.666018,-10.4919405,Bawang Putih
131,-15.607664999999999,-9.104257,Bawang Putih
132,-15.166322000000001,-6.650653,Bawang Putih
133,-12.711891,-9.293056,Non Bawang Putih
134,-16.443205,-9.202874000000001,Non Bawang Putih
135,-15.764919,-9.627412,Bawang Putih
136,-13.242554,-7.5662265,Bawang Putih
137,-14.311817999999999,-10.244777000000001,Non Bawang Putih
138,-15.466819000000001,-7.957374000000001,Bawang Putih
139,-12.512075999999999,-7.8319893,Bawang Putih
140,-8.587988000000001,0.26090747,Non Bawang Putih
141,-12.747096,-9.011614999999999,Bawang Putih
142,-16.283363,-9.043346000000001,Bawang Putih
143,-12.346651,-9.292321000000001,Bawang Putih
144,-11.630167,-8.486858999999999,Bawang Putih
145,-14.582654999999999,-9.021103,Bawang Putih
146,-14.962306,-9.166159,Bawang Putih
147,-12.313851,-5.643046,Non Bawang Putih
148,-5.0702114,0.09852000000000001,Non Bawang Putih
149,-8.425678,-2.5087006,Non Bawang Putih
150,-11.208338000000001,-2.626823,Non Bawang Putih
151,-15.760097,-12.436468,Non Bawang Putih
152,-15.673895000000002,-8.997728,Non Bawang Putih
153,-17.12773,-9.14808,Bawang Putih
154,-15.90991,-8.466339,Bawang Putih
155,-15.555836,-9.063357,Non Bawang Putih
156,-14.008798,-8.637633000000001,Bawang Putih
157,-14.468172000000001,-5.5777464000000005,Bawang Putih
158,-10.761324,0.43719763,Non Bawang Putih
159,-16.096735,-7.006449000000001,Bawang Putih
160,-12.050061,-7.6418967,Non Bawang Putih
161,-15.233079,-10.59515,Non Bawang Putih
162,-13.800423,-9.769781,Bawang Putih
163,-13.5956,-9.030173,Non Bawang Putih
164,-13.930786,-8.126483,Bawang Putih
165,-14.319231,-8.787999000000001,Bawang Putih
166,-14.980182000000001,-9.086437,Bawang Putih
167,-12.598376,-5.1249647000000005,Bawang Putih
168,-15.240707,-6.1859474,Bawang Putih
169,-7.8990974000000005,-5.0693727,Non Bawang Putih
170,-11.455684,-8.650449,Bawang Putih
171,-11.822506,-7.576819,Bawang Putih
172,-12.905560000000001,-8.977242,Bawang Putih
173,-10.713536999999999,-6.4398584,Non Bawang Putih
174,-14.795188000000001,-9.251088000000001,Non Bawang Putih
175,-16.665503,-9.525159,Non Bawang Putih
176,-12.401992,-9.962458999999999,Bawang Putih
177,-17.13849,-9.007164,Non Bawang Putih
178,-5.482704,-2.2306077,Non Bawang Putih
179,-15.147122,-9.820483,Bawang Putih
180,-16.380562,-8.520763,Bawang Putih
181,-10.756734,-7.361264,Bawang Putih
182,-13.261349,-6.922374700000001,Bawang Putih
183,-16.060394,-7.302851700000001,Non Bawang Putih
184,-13.405598000000001,-8.688994000000001,Bawang Putih
185,-13.327619,-5.5569167,Non Bawang Putih
186,-13.258117000000002,-9.270047,Bawang Putih
187,-15.202567000000002,-6.284495400000001,Bawang Putih
188,-14.031201000000001,-9.456595,Non Bawang Putih
189,-15.437345,-9.710361500000001,Bawang Putih
190,-7.9132547,-1.9610245,Non Bawang Putih
191,-7.12772,-2.0409372,Non Bawang Putih
192,-14.763392000000001,-8.420905,Bawang Putih
193,-17.086523,-10.459567999999999,Non Bawang Putih
194,-15.668776500000002,-8.310016000000001,Bawang Putih
195,-15.414484,-10.489828999999999,Non Bawang Putih
196,-15.751831,-10.180541,Bawang Putih
197,-14.229426,-8.763167,Bawang Putih
198,-3.5742648,3.2672465,Non Bawang Putih
199,-14.959948,-9.58307,Non Bawang Putih
200,-13.791219,-6.6355495,Bawang Putih
201,-10.969667999999999,-2.1699297000000004,Non Bawang Putih
202,-14.226150500000001,-8.307071,Bawang Putih
203,-5.0931505999999995,-1.2422446000000003,Non Bawang Putih
204,-14.052051,-9.672875,Bawang Putih
205,-14.173804999999998,-8.681429,Bawang Putih
206,-13.929731,-9.6533,Bawang Putih
207,-12.159577,-7.9228369999999995,Bawang Putih
208,-8.541608,-0.07617904,Non Bawang Putih
209,-12.675502,-7.909325999999999,Non Bawang Putih
210,-14.085104999999999,-8.519417,Bawang Putih
211,-14.116932,-8.648946,Bawang Putih
212,-15.551548,-8.914937,Bawang Putih
213,-15.724487,-10.059927,Non Bawang Putih
214,-15.0144,-9.805344999999999,Non Bawang Putih
215,-7.985879400000001,-1.403458,Non Bawang Putih
216,-10.3903265,-3.6030447,Non Bawang Putih
217,-12.309664999999999,-9.382925,Bawang Putih
218,-16.898808,-11.423884,Non Bawang Putih
219,-13.920237,-9.667887,Non Bawang Putih
220,-16.451985999999998,-6.955386,Bawang Putih
221,-17.019594,-10.3195095,Non Bawang Putih
222,-15.461017000000002,-9.724463,Bawang Putih
223,-16.544698999999998,-9.100411,Non Bawang Putih
224,-15.573182000000001,-9.479455999999999,Non Bawang Putih
225,-15.435003,-7.8174686,Bawang Putih
226,-14.722716,-6.91714,Bawang Putih
227,-16.090042,-9.906628,Bawang Putih
228,-13.45781,-6.356366599999999,Bawang Putih
229,-7.450168,-0.045687992000000004,Non Bawang Putih
230,-7.9418690000000005,-2.7381537000000002,Non Bawang Putih
231,-15.039156,-8.502297,Bawang Putih
232,-14.020761499999999,-7.004711,Non Bawang Putih
233,-13.071842,-6.105814499999999,Non Bawang Putih
234,-3.7384684,2.9741795,Non Bawang Putih
235,-12.9058,0.6339929,Non Bawang Putih
236,-15.161786,-8.377427,Non Bawang Putih
237,-14.432013000000001,-8.220667,Bawang Putih
238,-15.973103,-11.376388,Non Bawang Putih
239,-16.521198000000002,-9.206445,Bawang Putih
240,-14.632817000000001,-8.656301,Non Bawang Putih
241,-14.060709,-4.1464,Bawang Putih
242,-15.081408499999998,-9.914905000000001,Bawang Putih
243,-4.989961599999999,4.296431500000001,Non Bawang Putih
244,-14.640588000000001,-10.360763,Bawang Putih
245,-5.7242165,-1.1094137,Non Bawang Putih
246,-16.411018,-9.329158,Non Bawang Putih
247,-14.545754,-8.288176,Non Bawang Putih
248,-7.396733800000001,1.025801,Non Bawang Putih
249,-15.140986999999999,-11.130208999999999,Non Bawang Putih
250,-15.692597,-11.714986,Non Bawang Putih
251,-16.536486,-7.8585954,Bawang Putih
252,-10.925851,-1.7189256999999998,Non Bawang Putih
253,-15.507193,-6.75448,Bawang Putih
254,-15.593682000000001,-8.789613000000001,Non Bawang Putih
255,-13.800877,-8.090295,Non Bawang Putih
256,-14.828354000000001,-7.612242,Bawang Putih
257,-15.772039999999999,-7.828328999999999,Bawang Putih
258,-15.950558,-10.838265,Bawang Putih
259,-15.509907,-8.663625,Non Bawang Putih
260,-13.301317000000001,-4.5304723,Non Bawang Putih
261,-17.227468,-8.526757,Bawang Putih
262,-15.179204,-9.29539,Non Bawang Putih
263,-13.202070999999998,-9.330135,Bawang Putih
