,VH,VV,VV-VH,VV/VH,(VV+VH)/2,Class
0,-8.0318775,4.0729127,12.1047902,-0.5070934784550686,-1.9794824000000002,Non Bawang Putih
1,-16.969912,-6.497394,10.472518,0.3828772948262784,-11.733653,Bawang Putih
2,-14.984341,-7.5305467,7.4537943,0.5025610869373568,-11.257443850000001,Non Bawang Putih
3,-13.02629,-8.971922,4.054368,0.6887549716765096,-10.999106,Bawang Putih
4,-12.979395,-9.032339,3.947056,0.6958983065081231,-11.005867,Bawang Putih
5,-17.27478,-10.40931,6.86547,0.6025726521553386,-13.842044999999999,Non Bawang Putih
6,-18.077139000000006,-10.517617,7.5595220000000065,0.5818186716382496,-14.297378000000002,Bawang Putih
7,-14.185844,-7.7729464,6.412897599999999,0.5479368305474106,-10.979395199999999,Bawang Putih
8,-15.562185,-10.008677,5.553507999999999,0.6431408571482733,-12.785430999999999,Non Bawang Putih
9,-11.893711,0.47833788,12.37204888,-0.040217715059664726,-5.70768656,Non Bawang Putih
10,-10.246236,-3.1536486,7.092587399999999,0.30778605919285873,-6.6999423,Non Bawang Putih
11,-11.592901,-4.016304,7.576597,0.3464451218896806,-7.8046025,Non Bawang Putih
12,-12.3008175,-5.5953135000000005,6.705504,0.454873304152346,-8.9480655,Bawang Putih
13,-13.619357999999998,-5.842008,7.777349999999998,0.42894885353626805,-9.730682999999999,Bawang Putih
14,-16.121515,-10.907018,5.214496999999998,0.6765504358616421,-13.5142665,Bawang Putih
15,-13.199604999999998,-7.868502,5.331102999999998,0.5961164746975384,-10.534053499999999,Bawang Putih
16,-0.9621126,4.6010684999999985,5.563181099999999,-4.782255735971027,1.8194779499999991,Non Bawang Putih
17,-15.82157,-9.230731,6.590838999999999,0.5834269923907679,-12.5261505,Bawang Putih
18,-14.349654,-8.044858,6.304796,0.5606307998785197,-11.197256,Bawang Putih
19,-17.145708,-9.312417,7.833290999999999,0.5431340018154981,-13.2290625,Bawang Putih
20,-14.820617000000002,-9.000325,5.820292000000002,0.6072840962019327,-11.910471000000001,Bawang Putih
21,-5.847038,-1.7913966,4.055641400000001,0.30637676717681667,-3.8192173,Non Bawang Putih
22,-12.383504,-9.071721,3.311783,0.732564950921807,-10.7276125,Bawang Putih
23,-15.8048935,-9.93966,5.8652335,0.6288976259156697,-12.872276750000001,Non Bawang Putih
24,-6.215728,-1.4285142,4.7872138,0.2298225083208274,-3.8221211000000004,Non Bawang Putih
25,-15.492214,-9.298642999999998,6.193571000000002,0.6002139526345297,-12.3954285,Bawang Putih
26,-10.302497,-10.201295,0.10120200000000068,0.990176944482488,-10.251896,Bawang Putih
27,-10.879971,-7.989464999999999,2.8905060000000002,0.7343277845133962,-9.434718,Bawang Putih
28,-12.912412,-9.033809,3.878603,0.6996221155272927,-10.9731105,Non Bawang Putih
29,-9.797175,-0.5458208999999999,9.251354099999999,0.05571207006101248,-5.17149795,Non Bawang Putih
30,-12.60354,-6.5088167000000015,6.094723299999999,0.5164276623869167,-9.556178350000001,Bawang Putih
31,-11.422705,3.6930995,15.115804500000001,-0.3233121664264288,-3.86480275,Non Bawang Putih
32,-15.099797,-8.556614,6.543183000000001,0.5666707969650188,-11.8282055,Bawang Putih
33,-12.935108,-8.190221000000001,4.7448869999999985,0.6331776278945642,-10.5626645,Bawang Putih
34,-14.302381,-10.08784,4.2145410000000005,0.705325917411933,-12.1951105,Bawang Putih
