,VH,VV,Class
132,-13.228667000000002,-5.873977,Bawang Putih
133,-14.606941,-10.595716,Non Bawang Putih
134,-14.663224,-8.341773,Bawang Putih
135,-13.285466,-8.163317,Bawang Putih
136,-14.825002,-10.835934,Bawang Putih
137,-12.267928,-9.680795,Bawang Putih
138,-14.79656,-9.281865,Non Bawang Putih
139,-11.204584,-4.6467195,Non Bawang Putih
140,-13.535327,-10.234771,Bawang Putih
141,-10.194289,-5.4385934,Non Bawang Putih
142,-13.17987,-7.602670699999999,Non Bawang Putih
143,-15.392032,-9.1355095,Bawang Putih
144,-15.621469,-10.578555,Bawang Putih
145,-16.454685,-7.212558299999999,Bawang Putih
146,-12.744709,-7.4748597,Bawang Putih
147,-14.755495000000002,-7.945266,Bawang Putih
148,-12.718694,-8.3345,Bawang Putih
149,-15.801989,-10.014707,Bawang Putih
150,-15.184947,-8.051496,Non Bawang Putih
151,-10.202712,2.1826694,Non Bawang Putih
152,-15.775023999999998,-7.4864364,Bawang Putih
153,-13.306488,-4.979543700000002,Non Bawang Putih
154,-16.304867,-7.5984397,Bawang Putih
155,-10.78865,-4.4999385,Non Bawang Putih
156,-16.264517,-10.53185,Non Bawang Putih
157,-12.578903,-6.019693,Non Bawang Putih
158,-13.913170999999998,-8.571731,Bawang Putih
159,-16.35847,-8.5972595,Non Bawang Putih
160,-11.783134,-5.4385343,Non Bawang Putih
161,-16.515247,-9.129652,Non Bawang Putih
162,-16.077131,-9.088119,Bawang Putih
163,-17.268608,-9.319471,Non Bawang Putih
164,-12.336499,-9.452015,Bawang Putih
165,-15.872422,-10.991592,Non Bawang Putih
166,-14.842745,-8.831182,Non Bawang Putih
167,-10.785123,0.31094512,Non Bawang Putih
168,-14.478801,-8.69496,Bawang Putih
169,-6.0765910000000005,-1.1229753,Non Bawang Putih
170,-11.907115,-8.255137,Bawang Putih
171,-13.394495999999998,-8.200898,Bawang Putih
172,-14.513019,-6.610434,Bawang Putih
173,-13.995844,-9.033483,Bawang Putih
174,-14.976734,-9.430203,Bawang Putih
175,-14.925154,-7.2331076,Bawang Putih
176,-14.919419,-7.431655,Non Bawang Putih
177,-14.395646,-9.437804,Bawang Putih
178,-13.832548999999998,-9.683371,Bawang Putih
179,-15.427429,-8.076352,Bawang Putih
180,-13.248565,-10.64623,Bawang Putih
181,-17.645418,-8.434952000000001,Bawang Putih
182,-15.234688,-9.114625,Bawang Putih
183,-13.954409,-8.542755,Non Bawang Putih
184,-16.240866,-9.767097,Bawang Putih
185,-16.198158,-7.8868895,Bawang Putih
186,-15.16246,-7.297498700000001,Bawang Putih
187,-12.766319,-8.41807,Bawang Putih
188,-14.026741,-8.398947,Bawang Putih
189,-11.533411,-7.202823599999999,Bawang Putih
