,VH,VV,VV-VH,Class
101,-11.46869,-1.1305219,10.3381681,Non Bawang Putih
102,-16.741829,-10.920127,5.821701999999998,Bawang Putih
103,-7.198884,-1.7879379000000002,5.410946099999999,Non Bawang Putih
104,-4.7686324,2.624182,7.392814400000001,Non Bawang Putih
105,-14.1785755,-10.064518,4.114057500000001,Bawang Putih
106,-13.044936,-5.1835775,7.8613585,Bawang Putih
107,-12.492005,-9.761751,2.7302540000000004,Bawang Putih
108,-14.065795,-8.821744,5.244050999999999,Bawang Putih
109,-13.446504999999998,-11.819216,1.6272889999999975,Bawang Putih
110,-16.520355,-10.061607,6.458747999999998,Non Bawang Putih
111,-13.287304999999998,-8.012432,5.274872999999998,Bawang Putih
112,-10.990885,-5.5819410000000005,5.408944,Non Bawang Putih
113,-15.882206,-7.6306667,8.251539300000001,Bawang Putih
114,-14.650209,-8.5124235,6.1377855,Non Bawang Putih
115,-13.735311,-6.360254,7.375056999999999,Non Bawang Putih
116,-14.643037,-7.6498394,6.993197599999999,Bawang Putih
117,-14.055420000000002,-7.6835217,6.371898300000002,Bawang Putih
118,-14.796569,-8.410029,6.38654,Non Bawang Putih
119,-13.915845999999998,-6.8820543,7.033791699999998,Bawang Putih
120,-7.6413506999999985,-3.1781518,4.463198899999998,Non Bawang Putih
121,-8.666246000000001,-2.7465034,5.919742600000001,Non Bawang Putih
122,-14.889098,1.6520009999999998,16.541099,Non Bawang Putih
123,-15.672553,-9.596316,6.076237000000001,Non Bawang Putih
124,-15.10499,-8.734697,6.370293,Non Bawang Putih
125,-7.0041943,-3.162252,3.8419423,Non Bawang Putih
126,-14.657483,-6.9372444,7.720238599999999,Bawang Putih
127,-13.419089,-7.7664504,5.6526385999999995,Bawang Putih
128,-12.56749,-6.3858595000000005,6.181630499999999,Non Bawang Putih
129,-14.236773,-7.3786592,6.858113799999999,Bawang Putih
130,-12.666018,-10.4919405,2.174077499999999,Bawang Putih
131,-15.607665,-9.104257,6.503408,Bawang Putih
132,-15.166322,-6.650653,8.515668999999999,Bawang Putih
133,-12.711891,-9.293056,3.4188349999999996,Non Bawang Putih
134,-16.443205,-9.202874,7.240330999999999,Non Bawang Putih
135,-15.764919,-9.627412,6.137507000000001,Bawang Putih
136,-13.242554,-7.5662265,5.6763275,Bawang Putih
137,-14.311818,-10.244777,4.0670410000000015,Non Bawang Putih
138,-15.466819,-7.9573740000000015,7.509444999999998,Bawang Putih
139,-12.512076,-7.8319893,4.6800867,Bawang Putih
140,-8.587988000000001,0.26090747,8.84889547,Non Bawang Putih
141,-12.747096,-9.011615,3.735481,Bawang Putih
142,-16.283363,-9.043346,7.240017000000002,Bawang Putih
143,-12.346651,-9.292321,3.05433,Bawang Putih
144,-11.630167,-8.486858999999999,3.143308000000001,Bawang Putih
145,-14.582655,-9.021103,5.561552000000001,Bawang Putih
146,-14.962306,-9.166159,5.7961469999999995,Bawang Putih
147,-12.313851,-5.643046,6.670805,Non Bawang Putih
148,-5.0702114,0.09852,5.1687313999999995,Non Bawang Putih
149,-8.425678,-2.5087006,5.9169773999999995,Non Bawang Putih
150,-11.208338,-2.626823,8.581515,Non Bawang Putih
151,-15.760097,-12.436468,3.3236290000000004,Non Bawang Putih
152,-15.673895000000002,-8.997728,6.676167000000001,Non Bawang Putih
153,-17.12773,-9.14808,7.9796499999999995,Bawang Putih
154,-15.90991,-8.466339,7.443571,Bawang Putih
