,VH,VV,VV-VH,Class
0,-8.0318775,4.0729127,12.1047902,Non Bawang Putih
1,-16.969912,-6.497394,10.472518,Bawang Putih
2,-14.984341,-7.5305467,7.4537943,Non Bawang Putih
3,-13.02629,-8.971922,4.054368,Bawang Putih
4,-12.979395,-9.032339,3.947056,Bawang Putih
5,-17.27478,-10.40931,6.86547,Non Bawang Putih
6,-18.077139000000006,-10.517617,7.5595220000000065,Bawang Putih
7,-14.185844,-7.7729464,6.412897599999999,Bawang Putih
8,-15.562185,-10.008677,5.553507999999999,Non Bawang Putih
9,-11.893711,0.47833788,12.37204888,Non Bawang Putih
10,-10.246236,-3.1536486,7.092587399999999,Non Bawang Putih
11,-11.592901,-4.016304,7.576597,Non Bawang Putih
12,-12.3008175,-5.5953135000000005,6.705504,Bawang Putih
13,-13.619357999999998,-5.842008,7.777349999999998,Bawang Putih
14,-16.121515,-10.907018,5.214496999999998,Bawang Putih
15,-13.199604999999998,-7.868502,5.331102999999998,Bawang Putih
16,-0.9621126,4.6010684999999985,5.563181099999999,Non Bawang Putih
17,-15.82157,-9.230731,6.590838999999999,Bawang Putih
18,-14.349654,-8.044858,6.304796,Bawang Putih
19,-17.145708,-9.312417,7.833290999999999,Bawang Putih
20,-14.820617000000002,-9.000325,5.820292000000002,Bawang Putih
21,-5.847038,-1.7913966,4.055641400000001,Non Bawang Putih
22,-12.383504,-9.071721,3.311783,Bawang Putih
23,-15.8048935,-9.93966,5.8652335,Non Bawang Putih
24,-6.215728,-1.4285142,4.7872138,Non Bawang Putih
25,-15.492214,-9.298642999999998,6.193571000000002,Bawang Putih
26,-10.302497,-10.201295,0.10120200000000068,Bawang Putih
27,-10.879971,-7.989464999999999,2.8905060000000002,Bawang Putih
28,-12.912412,-9.033809,3.878603,Non Bawang Putih
29,-9.797175,-0.5458208999999999,9.251354099999999,Non Bawang Putih
30,-12.60354,-6.5088167000000015,6.094723299999999,Bawang Putih
31,-11.422705,3.6930995,15.115804500000001,Non Bawang Putih
32,-15.099797,-8.556614,6.543183000000001,Bawang Putih
33,-12.935108,-8.190221000000001,4.7448869999999985,Bawang Putih
34,-14.302381,-10.08784,4.2145410000000005,Bawang Putih
35,-16.66776,-8.801006,7.866754000000002,Non Bawang Putih
36,-11.194356,-8.198069,2.9962870000000006,Non Bawang Putih
37,-8.692524,4.1336894,12.8262134,Non Bawang Putih
38,-7.045009599999998,-3.126985,3.9180245999999985,Non Bawang Putih
