;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
8119;pin_1056;250719;143,4903372;112,4987988;116,5381847;-8,378021468;-12,666624;-9,08507;Bawang Putih
8120;pin_8172;221119;103,5;85,5;116,5345446;-8,375709388;-14,758501;-10,804377;Non Bawang Putih
8121;pin_2281;250719;182,490311;19,49879699;116,5414089;-8,369677623;-15,477701;-10,717905;Bawang Putih
8122;pin_2835;250719;230,5;83,5;116,5458502;-8,375222363;-15,143483;-9,216699;Bawang Putih
8123;pin_6428;221119;125,5;6,5;116,5362932;-8,36865086;-11,149006;-2,3965898;Non Bawang Putih
8124;pin_4220;221119;171,5567545;41,63510296;116,5404843;-8,371643003;-17,991877;-9,699456;Non Bawang Putih
8125;pin_7194;221119;147,5;180,5;116,5387114;-8,384011748;-14,094714;-0,5714478;Non Bawang Putih
8126;pin_1092;250719;125,4903479;114,4988;116,5365883;-8,378246151;-15,193746;-7,0378017;Bawang Putih
8127;pin_3511;250719;229,5;92,5;116,545785;-8,376022505;-14,289669;-7,7619977;Bawang Putih
8128;pin_4640;221119;191,5567303;34,6351003;116,5422454;-8,370970009;-15,057403;-10,379623;Non Bawang Putih
8129;pin_1660;250719;98,49036239;71,49880233;116,534072;-8,374506864;-14,102846;-10,289345;Bawang Putih
8130;pin_7026;221119;141,5;173,5;116,5381589;-8,383407281;-11,5913515;-1,800949;Non Bawang Putih
8131;pin_1216;250719;136,4903415;118,4987992;116,5375777;-8,378571608;-13,3069725;-8,4183;Bawang Putih
8132;pin_4198;250719;183,4600416;38,35105769;116,541545;-8,371345623;-17,076973;-8,389473;Bawang Putih
8133;pin_4415;221119;174,55675;26,63510285;116,5407116;-8,370305899;-17,25814;-9,671445;Non Bawang Putih
8134;pin_2589;250719;191,490306;30,49879624;116,5422388;-8,370628651;-11,161619;-9,218655;Bawang Putih
8135;pin_460;250719;133,4903441;141,4987992;116,5373717;-8,380617646;-13,079414;-6,4008155;Bawang Putih
8136;pin_4440;221119;174,55675;27,63510283;116,5407142;-8,370394512;-18,067999;-10,869834;Non Bawang Putih
8137;pin_5179;221119;204,5567162;53,63509809;116,5434524;-8,372619384;-15,694561;-6,249944;Non Bawang Putih
8138;pin_7848;221119;97,5;67,5;116,533963;-8,374130121;-15,77936;-10,38298;Non Bawang Putih
8139;pin_7296;221119;142,5;183,5;116,5382744;-8,384290783;-14,056086;-3,5090714;Non Bawang Putih
8140;pin_5319;221119;221,8706859;5,1906222;116,5448648;-8,368280984;-9,864746;-2,704099;Non Bawang Putih
8141;pin_6033;221119;221,8706917;177,1906204;116,5453203;-8,383522217;-10,859564;-4,1357307;Non Bawang Putih
8142;pin_1637;250719;102,49036;70,49880206;116,5344253;-8,374407711;-15,2549715;-10,224522;Bawang Putih
8143;pin_3906;250719;189,4600385;52,35105713;116,542116;-8,372570391;-14,295744;-9,652597;Bawang Putih
8144;pin_5054;221119;181,5567435;54,6351013;116,5414085;-8,372768621;-13,162641;-7,2271047;Non Bawang Putih
8145;pin_1479;250719;133,4903404;32,49880028;116,5370832;-8,370958685;-16,362034;-10,340568;Bawang Putih
8146;pin_556;250719;139,4903377;57,49879961;116,5376832;-8,373158235;-11,966526;-9,391674;Bawang Putih
8147;pin_8135;221119;119,5;83,5;116,535963;-8,375489996;-17,136305;-10,335257;Non Bawang Putih
8148;pin_2922;250719;246,5;82,5;116,5472712;-8,375091551;-16,231913;-7,811278;Bawang Putih
8149;pin_485;250719;131,4903453;142,4987993;116,5371964;-8,380711535;-13,8810005;-9,601731;Bawang Putih
8150;pin_1221;250719;141,4903386;118,4987988;116,5380226;-8,378558425;-15,014249;-7,3167143;Bawang Putih
8151;pin_7382;221119;65,5;178,5;116,5314093;-8,384050809;-4,7718506;0,23993395;Non Bawang Putih
8152;pin_2090;250719;103,4903606;107,4988016;116,5346121;-8,377683838;-13,895918;-10,580203;Bawang Putih
8153;pin_4461;221119;172,5567525;28,63510309;116,5405389;-8,370488395;-17,99837;-9,464417;Non Bawang Putih
8154;pin_6308;221119;116,5;124,5;116,5358046;-8,379131108;-13,408746;-7,633915;Non Bawang Putih
8155;pin_3454;250719;236,5;90,5;116,5464026;-8,375826818;-14,710938;-7,7558384;Bawang Putih
8156;pin_4836;221119;195,5567264;46,6350995;116,5426331;-8,372022819;-13,835145;-8,03401;Non Bawang Putih
8157;pin_4673;221119;178,5567445;15,63510251;116,5410384;-8,369320616;-17,692312;-9,605604;Non Bawang Putih
8158;pin_7261;221119;136,5;182,5;116,5377379;-8,384217999;-7,065419;4,580376;Non Bawang Putih
8159;pin_6167;221119;217,8706938;170,1906208;116,5449459;-8,382912494;-12,47916;-5,2812943;Non Bawang Putih
8160;pin_7096;221119;143,5;176,5;116,5383449;-8,383667847;-12,057778;0,90519464;Non Bawang Putih
8161;pin_4063;250719;175,4600469;57,35105806;116,5408835;-8,373050355;-13,561601;-5,480097;Bawang Putih
8162;pin_4031;250719;198,4600333;56,35105645;116,5429274;-8,372901119;-15,879934;-8,871452;Bawang Putih
8163;pin_3891;250719;174,4600474;52,35105818;116,5407813;-8,372609924;-14,614276;-8,5257435;Bawang Putih
8164;pin_4691;221119;186,5567351;16,63510137;116,5417529;-8,369388153;-17,347412;-10,510343;Non Bawang Putih
8165;pin_8365;221119;106,5;106,5;116,5348671;-8,3775624;-14,986646;-10,082595;Non Bawang Putih
8166;pin_2222;250719;171,4903174;17,49879778;116,5404248;-8,369529376;-16,197807;-9,8531475;Bawang Putih
8167;pin_1451;250719;84,49037041;64,49880338;116,5328077;-8,373923435;-15,657581;-9,914802;Bawang Putih
8168;pin_6804;221119;53,5;233,5;116,5304871;-8,388956355;-6,536607;-1,9937367;Non Bawang Putih
8169;pin_3453;250719;235,5;90,5;116,5463136;-8,375829456;-14,500443;-7,9461794;Bawang Putih
